date,open,high,low,close,index_value,daily_return,cumulative_return
2024-10-28,1614.12,1649.98,1580.25,1617.0,1617.0,-0.16,61.7
2024-10-29,1603.41,1682.51,1575.84,1599.66,1599.66,-1.07,59.97
2024-10-30,1583.69,1637.53,1552.62,1595.84,1595.84,-0.24,59.58
2024-10-31,1615.99,1665.34,1576.67,1614.69,1614.69,1.18,61.47
2024-11-01,1592.29,1635.9,1519.34,1528.03,1528.03,-5.37,52.8
2024-11-04,1525.19,1581.49,1514.26,1558.16,1558.16,1.97,55.82
2024-11-05,1552.88,1649.83,1542.81,1624.5,1624.5,4.26,62.45
2024-11-06,1640.69,1696.53,1598.27,1639.17,1639.17,0.9,63.92
2024-11-07,1619.55,1733.49,1602.02,1701.44,1701.44,3.8,70.14
2024-11-08,1731.48,1789.7,1625.86,1653.54,1653.54,-2.82,65.35
2024-11-11,1642.49,1733.32,1619.52,1693.89,1693.89,2.44,69.39
2024-11-12,1689.44,1730.72,1627.42,1660.58,1660.58,-1.97,66.06
2024-11-13,1651.4,1780.78,1626.62,1744.96,1744.96,5.08,74.5
2024-11-14,1725.46,1765.7,1668.99,1677.9,1677.9,-3.84,67.79
2024-11-15,1680.06,1711.46,1593.81,1599.8,1599.8,-4.65,59.98
2024-11-18,1593.03,1640.45,1537.7,1560.66,1560.66,-2.45,56.07
2024-11-19,1569.49,1629.63,1527.36,1613.36,1613.36,3.38,61.34
2024-11-20,1607.24,1667.77,1590.02,1641.15,1641.15,1.72,64.12
2024-11-21,1630.41,1710.19,1604.86,1670.3,1670.3,1.78,67.03
2024-11-22,1663.91,1697.26,1593.6,1598.47,1598.47,-4.3,59.85
2024-11-25,1607.0,1629.42,1526.59,1576.51,1576.51,-1.37,57.65
2024-11-26,1566.01,1611.46,1548.82,1577.76,1577.76,0.08,57.78
2024-11-27,1566.92,1655.42,1543.82,1650.58,1650.58,4.62,65.06
2024-11-28,1644.8,1737.93,1621.52,1661.91,1661.91,0.69,66.19
2024-11-29,1654.73,1747.02,1636.51,1695.46,1695.46,2.02,69.55
2024-12-02,1700.7,1756.37,1661.23,1713.33,1713.33,1.05,71.33
2024-12-03,1707.45,1755.13,1669.74,1700.9,1700.9,-0.73,70.09
2024-12-04,1728.77,1757.18,1658.32,1680.3,1680.3,-1.21,68.03
2024-12-05,1672.81,1726.98,1663.08,1706.51,1706.51,1.56,70.65
2024-12-06,1707.18,1738.61,1669.3,1696.73,1696.73,-0.57,69.67
2024-12-09,1688.46,1703.61,1616.63,1657.97,1657.97,-2.28,65.8
2024-12-10,1723.44,1734.86,1636.91,1654.91,1654.91,-0.18,65.49
2024-12-11,1639.47,1696.52,1616.11,1668.95,1668.95,0.85,66.9
2024-12-12,1673.83,1735.91,1658.59,1720.71,1720.71,3.1,72.07
2024-12-13,1708.96,1777.01,1670.46,1711.86,1711.86,-0.51,71.19
2024-12-16,1713.89,1756.72,1659.64,1699.6,1699.6,-0.72,69.96
